710:0.2341102 0.7590817 0.18011063 -0.7868228 0.063499704 0.72409695 0.18621273 -1.1985402 2.265601 -0.6575027
205:-0.514878 0.025303723 -0.04632772 0.24391489 0.20548949 1.0257238 0.24354984 -0.26043525 0.6382953 -0.14690667
45:-0.30798894 -0.2370026 -0.5318241 0.36675593 0.17705834 0.96853447 0.07939788 0.010415876 0.04208384 0.0671954
515:-0.7661552 -0.050518345 -0.353505 0.39845073 0.3204832 0.65894693 0.060287986 -0.12248945 -0.35105923 0.5369799
574:-0.13673216 -0.064022034 -0.19846666 0.21076395 0.15021716 0.93039316 0.8041096 -0.10655434 0.48765627 -0.096537456
858:0.33964136 0.57705784 -0.04184886 -0.21102966 0.41894794 -0.15180813 0.33255205 -0.082787685 -0.20745516 -0.026135616
619:0.005604858 0.5862943 0.09558529 -0.4258261 0.100508586 0.5182962 0.1410204 -0.76328117 1.475518 -0.4186793
507:-0.0011568491 -0.28391886 0.11781287 -0.13522363 0.13723998 0.5474698 0.030165674 0.2790725 0.30676463 0.3158021
113:-0.65149605 0.6188234 0.27888283 -0.45926774 0.6101151 0.34267393 0.345612 -0.60414386 1.4588056 -0.00952797
34:-0.3624731 -0.07540666 0.4151116 0.152459 0.22436844 0.026667483 0.4827991 -0.020564098 -0.16509046 -0.6223775
563:-0.24964522 0.1561292 0.1843376 -0.02459827 0.081004836 0.8550006 0.43636116 -0.43010518 0.27232552 0.40292194
381:-0.74012125 -0.20308495 -0.24353951 -0.025348216 -0.14237902 0.82805383 -0.6351272 -0.01546775 0.10177127 0.19007115
455:-0.5592625 0.3171749 -0.43643793 -0.5921619 -0.7028798 0.7406909 -0.53679526 -0.11091703 0.20579822 -0.30294853
67:-0.25875846 0.9795783 0.43622348 -0.18949492 -0.050701432 0.6370072 0.7140559 -1.9883347 1.5503315 0.5333271
388:-0.55195063 0.26840046 0.18411507 0.35173723 0.64091885 0.5998596 0.3059237 -0.3235013 0.01698694 0.43331197
974:-0.7093316 0.5097133 0.4029741 -0.21953605 -0.05084344 0.14631146 0.9101193 0.20757625 0.4204432 0.6734079
310:-0.23453689 0.55888164 0.22196534 -0.7272489 -1.1745869 0.8335892 0.10447004 -1.2625737 0.91637194 -0.5129737
169:-0.47980693 0.14880052 -0.24730152 -0.68846744 -0.9410683 0.8554577 -0.89741427 -0.2535729 0.4039894 -0.5303051
444:0.06957066 -0.010600255 -0.06323515 -0.0390432 -0.16325559 1.3638989 0.0039414205 0.06062622 0.34944993 0.123590454
